Time,X-Acceleration,Y-Acceleration,Z-Acceleration,X-Velocity,Y-Velocity,Z-Velocity,Composite-Acceleration,Composite-Velocity,Temperature Z,Temperature-XYZ
00:00.0,15.1796875,16.15625,10.4921875,1.62109375,1.877929688,1.686523438,17.515625,3,19.25,19.25
00:00.0,16.09375,15.3515625,10.421875,1.466796875,1.686523438,1.462890625,18.9375,2.671875,18.75,18.75
00:00.0,12.9140625,16.296875,11.4453125,1.444335938,1.749023438,1.473632813,19.75,2.705078125,17.4375,17.4375
00:00.0,17.140625,25.671875,11.890625,1.763671875,1.77734375,1.495117188,26.65625,2.916015625,18.4375,18.4375
00:00.0,19.671875,20.375,13.4609375,1.793945313,1.783203125,1.439453125,23.78125,2.91015625,18.6875,18.6875
00:00.0,18.9375,21.703125,15.21875,1.559570313,1.739257813,1.361328125,25.640625,2.703125,18.5,18.5
00:00.0,16.53125,21.53125,11.9609375,1.705078125,1.81640625,1.419921875,25.546875,2.8671875,17.875,17.875
00:00.0,17.578125,21.234375,14.78125,2.064453125,2.287109375,1.564453125,21.6875,3.45703125,17.875,17.875
00:00.0,18.140625,21.171875,12.453125,1.685546875,1.783203125,1.453125,24.765625,2.8515625,18.4375,18.4375
00:00.0,18.65625,21.5390625,11.66015625,1.937011719,1.895019531,1.518066406,23.59375,3.106445313,19.46875,19.46875
00:00.0,20.171875,19.53125,11.765625,1.78125,1.78125,1.3671875,23.3125,2.865234375,19.4375,19.4375
00:00.0,17.2109375,19.703125,10.8203125,1.894042969,1.847167969,1.62109375,22.765625,3.103515625,20.53125,20.53125
00:00.0,18.375,21.640625,12.421875,1.791015625,1.765625,1.529296875,26.625,2.943359375,21.5,21.5
00:00.0,16.703125,18.1875,11.296875,1.545898438,1.537109375,1.518554688,21.921875,2.65625,22,22
00:00.0,17.703125,19.140625,9.2578125,1.639648438,1.688476563,1.390625,24.34375,2.734375,22.625,22.625
00:00.0,17.6875,20.796875,10.7421875,1.763671875,1.813476563,1.504882813,22.828125,2.943359375,22.25,22.25
00:00.0,16.546875,20.28125,9.796875,1.749023438,1.8203125,1.53125,21.21875,2.953125,22.5,22.5
00:00.0,17.328125,21.25,10.046875,1.758789063,1.712890625,1.430664063,21.328125,2.841796875,22.375,22.375
00:00.0,16.765625,18.484375,10.9609375,1.80078125,2.05859375,1.9296875,21.5,3.345703125,21.625,21.625
00:00.0,14.4453125,16.765625,11.3671875,2.26953125,2.1171875,1.899414063,21,3.638671875,20.4375,20.4375
00:00.0,14.34375,20.171875,10.125,1.961914063,2.103515625,1.583007813,20.78125,3.283203125,19.6875,19.6875
00:00.0,14.15625,19.390625,10.390625,2.25,1.98046875,2.00390625,19.53125,3.60546875,20.0625,20.0625
00:00.0,15.9375,17.46875,11.734375,2.236328125,1.875976563,1.974609375,20.484375,3.525390625,19.875,19.875
00:00.0,13.40625,16.625,11.9921875,3.0546875,2.08984375,2.546875,18.421875,4.4921875,20.125,20.125
00:00.0,13.90625,21.40625,11.078125,3.052734375,1.869140625,2.5390625,21.984375,4.38671875,20.9375,20.9375
00:00.0,15.7109375,17.0625,9.7109375,2.466796875,1.8359375,2.392578125,17.84375,3.896484375,21.875,21.875
00:00.0,14.078125,20.515625,11.1015625,2.47265625,1.80859375,2.3125,20.65625,3.837890625,22.5,22.5
00:00.0,13.5859375,20.140625,11.046875,2.03515625,1.755859375,1.6015625,23.125,3.12890625,22.875,22.875
00:00.0,12.0703125,16.65625,11.0703125,2.66015625,1.91796875,2.400390625,18.15625,4.0625,23,23
00:00.0,13.3984375,19.84375,11.0859375,3.185546875,2.005859375,2.42578125,21,4.4765625,22.875,22.875
00:00.0,14.2265625,16.03125,12.609375,2.466796875,1.848632813,2.095703125,19.71875,3.7265625,21.875,21.875
00:00.0,13.7109375,17.09375,10.6953125,2.09375,1.640625,1.862304688,18.046875,3.248046875,21,21
00:00.0,14.8984375,14.8671875,10.2578125,1.913085938,1.838867188,2.1953125,18.59375,3.443359375,20.25,20.25
00:00.0,13.8515625,12.421875,12.34375,1.817382813,1.697265625,1.72265625,16.75,3.025390625,20.5,20.5
00:00.0,13.828125,17.140625,11.421875,1.89453125,1.673828125,1.70703125,18.375,3.05078125,19.75,19.75
00:00.0,15.2734375,14.671875,11.2734375,1.747070313,1.927734375,1.727539063,17.546875,3.123046875,18.875,18.875
00:00.0,14.0078125,13.625,10.59375,2.033203125,1.833007813,1.935546875,17.1875,3.3515625,19.25,19.25
00:00.0,14.4140625,14.8125,12.1875,1.592773438,1.875,1.672851563,17.78125,2.974609375,19.375,19.375
00:00.0,13.9296875,17.640625,11.828125,1.905273438,2.08203125,1.91015625,22.25,3.408203125,19.1875,19.1875
00:00.0,12.6484375,17.890625,9.4140625,1.939453125,2.21875,1.821289063,21.453125,3.46484375,18.5625,18.5625
00:00.0,12.328125,14.25,11.5,1.790039063,1.921875,2.0234375,16.90625,3.314453125,18.75,18.75
00:00.0,16.984375,14.7578125,10.90625,1.791992188,2.48828125,1.794921875,17.921875,3.552734375,18.375,18.375
00:00.0,0.118347168,0.304199219,0.306640625,1.186523438,0.739257813,0.59765625,0.702148438,1.713867188,16.125,16.125
00:00.0,0.477050781,0.415771484,0.391845703,0.782226563,0.526367188,0.286376953,0.809082031,1.390625,12.3125,12.3125
00:00.0,0.382568359,0.139404297,0.440673828,0.805175781,0.629882813,1.412109375,0.625976563,1.895507813,10.75,10.75
00:00.0,0.159423828,0.310791016,0.296142578,1.060546875,1.27734375,2.248046875,0.613769531,2.794921875,9.8125,9.8125
00:00.0,0.486816406,0.324462891,0.466308594,1.083007813,0.993164063,1.159179688,0.674316406,1.874023438,10.125,10.125
00:00.0,13.53125,20.65625,8.0546875,1.32421875,1.244140625,1.14453125,20.921875,2.146484375,13.1875,13.1875
00:00.0,19.46875,13.7734375,10.0390625,2.255859375,1.723632813,1.654296875,19.515625,3.28515625,17.9375,17.9375
00:00.0,21.3125,14.8203125,11.3515625,2.412109375,2.046875,2.115234375,21.8125,3.806640625,20.5625,20.5625
00:00.0,17.5625,15.765625,11.28125,2.8125,2.091796875,1.991210938,22.71875,4.03125,22.4375,22.4375
00:00.0,13.8203125,16.703125,9.8515625,2.439453125,1.930664063,1.733398438,19,3.560546875,23.75,23.75
