Time,GDP
1985,235.6525399
1986,430.188501
1987,585.3049372
1988,397.0143602
1989,96.13036189
1990,96.71929574
1991,140.6310045
1992,141.3836852
1993,185.187122
1994,224.6370945
1995,281.1336045
1996,329.00119
1997,352.9344398
1998,352.783068
1999,367.1568837
2000,394.5831366
2001,409.4977339
2002,434.8102921
2003,485.4509081
2004,551.9035051
2005,693.1898425
2006,790.5925164
2007,913.3123316
2008,1158.101627
2009,1225.845009
2010,1684.011772
2011,1953.55715
2012,2190.23244
2013,2367.499331
2014,2558.778758
2015,2595.234844
2016,2760.717101
2017,2992.071532
2018,3267.225069
2019,3491.09141
2020,3586.347176
2021,3756.488901
2022,4163.514299
